,n_windows,score_BigBonus,score_BigLoss,score_MinorBonus,score_MinorLoss,win_rate,yield_rate
347,12,4,-10,2,-6,0.506696429,0.227072835
348,16,4,-10,2,-6,0.510044643,0.759099131
349,20,4,-10,2,-6,0.510044643,0.901644984
350,24,4,-10,2,-6,0.508928571,0.543000757
351,28,4,-10,2,-6,0.502232143,0.340992821
352,8,4,-10,4,-6,0.512276786,0.264556514
353,12,4,-10,4,-6,0.512276786,0.528825815
354,16,4,-10,4,-6,0.522321429,1.130024953
355,20,4,-10,4,-6,0.515625,1.468820286
356,24,4,-10,4,-6,0.514508929,0.895589673
357,28,4,-10,4,-6,0.511160714,0.461632489
358,4,4,-10,6,-6,0.517857143,0.243854693
359,8,4,-10,6,-6,0.512276786,0.371517025
360,12,4,-10,6,-6,0.521205357,0.659064844
361,16,4,-10,6,-6,0.515625,1.179352207
362,20,4,-10,6,-6,0.518973214,1.590472205
363,24,4,-10,6,-6,0.514508929,0.90667979
364,28,4,-10,6,-6,0.512276786,0.258606695
365,4,4,-10,8,-6,0.514508929,0.316203782
366,8,4,-10,8,-6,0.516741071,0.447447167
367,12,4,-10,8,-6,0.522321429,0.607792446
368,16,4,-10,8,-6,0.513392857,0.853395386
369,20,4,-10,8,-6,0.515625,1.191160086
370,24,4,-10,8,-6,0.513392857,0.192259545
371,8,4,-10,2,-4,0.5078125,0.060697816
372,12,4,-10,2,-4,0.506696429,0.193519911
373,16,4,-10,2,-4,0.508928571,0.775913051
374,20,4,-10,2,-4,0.515625,0.944677735
375,24,4,-10,2,-4,0.512276786,0.601282218
376,28,4,-10,2,-4,0.505580357,0.436789991
377,8,4,-10,4,-4,0.514508929,0.229672271
378,12,4,-10,4,-4,0.514508929,0.463465993
379,16,4,-10,4,-4,0.520089286,1.082479507
380,20,4,-10,4,-4,0.518973214,1.460033735
381,24,4,-10,4,-4,0.516741071,0.991055546
382,28,4,-10,4,-4,0.5078125,0.637148725
383,32,4,-10,4,-4,0.515625,0.095132733
384,4,4,-10,6,-4,0.517857143,0.237514347
385,8,4,-10,6,-4,0.514508929,0.356765649
386,12,4,-10,6,-4,0.522321429,0.558983882
387,16,4,-10,6,-4,0.516741071,1.043636522
388,20,4,-10,6,-4,0.514508929,1.431398105
389,24,4,-10,6,-4,0.515625,0.878563765
390,28,4,-10,6,-4,0.514508929,0.391608958
391,4,4,-10,8,-4,0.514508929,0.309269693
392,8,4,-10,8,-4,0.522321429,0.40177779
393,12,4,-10,8,-4,0.515625,0.436354513
394,16,4,-10,8,-4,0.511160714,0.61291832
395,20,4,-10,8,-4,0.508928571,0.888582922
396,8,4,-10,2,-2,0.5078125,0.022334957
397,12,4,-10,2,-2,0.503348214,0.150184588
398,16,4,-10,2,-2,0.515625,0.741206027
399,20,4,-10,2,-2,0.518973214,0.967556596
400,24,4,-10,2,-2,0.511160714,0.690606965
401,28,4,-10,2,-2,0.5078125,0.587520617
402,32,4,-10,2,-2,0.502232143,0.49533917
403,36,4,-10,2,-2,0.502232143,0.287806529
404,8,4,-10,4,-2,0.510044643,0.202200634
405,12,4,-10,4,-2,0.520089286,0.356887075
406,16,4,-10,4,-2,0.514508929,0.947862559
407,20,4,-10,4,-2,0.513392857,1.278980971
408,24,4,-10,4,-2,0.515625,0.922486208
409,28,4,-10,4,-2,0.514508929,0.677137459
410,32,4,-10,4,-2,0.522321429,0.095504008
411,4,4,-10,6,-2,0.513392857,0.225885417
412,8,4,-10,6,-2,0.520089286,0.301761631
413,12,4,-10,6,-2,0.514508929,0.402682994
414,16,4,-10,6,-2,0.513392857,0.769710628
415,20,4,-10,6,-2,0.511160714,1.130251247
416,24,4,-10,6,-2,0.516741071,0.488061624
417,28,4,-10,6,-2,0.520089286,0.056362466
418,4,4,-10,8,-2,0.514508929,0.297370206
419,8,4,-10,8,-2,0.522321429,0.345816481
420,12,4,-10,8,-2,0.513392857,0.270213663
421,16,4,-10,8,-2,0.506696429,0.25929889
422,20,4,-10,8,-2,0.513392857,0.483025398
423,8,4,-10,2,0,0.504464286,-0.011939162
424,12,4,-10,2,0,0.502232143,0.055711411
425,16,4,-10,2,0,0.513392857,0.578616502
426,20,4,-10,2,0,0.505580357,0.777288188
427,24,4,-10,2,0,0.505580357,0.476777983
428,28,4,-10,2,0,0.512276786,0.371592367
429,32,4,-10,2,0,0.505580357,0.277884232
430,36,4,-10,2,0,0.512276786,0.080775702
431,4,4,-10,4,0,0.501116071,0.129139861
432,8,4,-10,4,0,0.516741071,0.156028639
433,12,4,-10,4,0,0.514508929,0.224239709
434,16,4,-10,4,0,0.504464286,0.650331683
435,20,4,-10,4,0,0.511160714,0.976731181
436,24,4,-10,4,0,0.526785714,0.421016508
437,28,4,-10,4,0,0.515625,0.103008759
438,4,4,-10,6,0,0.513392857,0.224194762
439,8,4,-10,6,0,0.5234375,0.253240774
440,12,4,-10,6,0,0.518973214,0.240904365
441,16,4,-10,6,0,0.514508929,0.431298808
442,20,4,-10,6,0,0.5234375,0.726715174
443,4,4,-10,8,0,0.514508929,0.294979721
444,8,4,-10,8,0,0.525669643,0.295097802
445,12,4,-10,8,0,0.518973214,0.088200707
446,20,4,-10,8,0,0.521205357,-0.007699269
447,12,6,-10,2,-10,0.5078125,0.075123862
