,price_raw,state
2016/11/17,3436.535,mb
2016/11/18,3417.4554,mb
2016/11/21,3441.1106,mb
2016/11/22,3468.3637,mb
2016/11/23,3474.7289,mb
2016/11/24,3488.7402,mb
2016/11/25,3521.2984,mb
2016/11/28,3535.0807,mb
2016/11/29,3564.0404,mb
2016/11/30,3538.001,mb
2016/12/1,3565.036,mb
2016/12/2,3528.9547,mb
2016/12/5,3469.4073,mb
2016/12/6,3459.1533,mb
2016/12/7,3475.7473,mb
2016/12/8,3470.1426,mb
2016/12/9,3493.7004,mb
2016/12/12,3409.1794,mb
2016/12/13,3405.0355,mb
2016/12/14,3378.9453,mb
2016/12/15,3340.4338,mb
2016/12/16,3346.0305,mb
2016/12/19,3328.9827,mb
2016/12/20,3309.0641,mb
2016/12/21,3338.536,ml
2016/12/22,3335.672,ml
2016/12/23,3307.5991,ml
2016/12/26,3322.4006,ml
2016/12/27,3316.3852,ml
2016/12/28,3301.8887,ml
2016/12/29,3297.7648,ml
2016/12/30,3310.0808,ml
2017/1/3,3342.2272,ml
2017/1/4,3368.3117,ml
2017/1/5,3367.7892,ml
2017/1/6,3347.6665,ml
2017/1/9,3363.9014,ml
2017/1/10,3358.2716,ml
2017/1/11,3334.4954,ml
2017/1/12,3317.6241,ml
2017/1/13,3319.9122,ml
2017/1/16,3319.4455,ml
2017/1/17,3326.3563,ml
2017/1/18,3339.3653,mb
2017/1/19,3329.2891,mb
2017/1/20,3354.8891,mb
2017/1/23,3364.0808,mb
2017/1/24,3364.4509,mb
2017/1/25,3375.9042,mb
2017/1/26,3387.9606,mb
2017/2/3,3364.4923,mb
2017/2/6,3373.2051,mb
2017/2/7,3365.6849,mb
2017/2/8,3383.2878,mb
2017/2/9,3396.2924,mb
2017/2/10,3413.4868,mb
2017/2/13,3436.275,mb
2017/2/14,3435.8042,mb
2017/2/15,3421.7131,mb
2017/2/16,3440.9331,mb
2017/2/17,3421.4419,mb
2017/2/20,3471.3926,mb
2017/2/21,3482.823,mb
2017/2/22,3489.7567,mb
2017/2/23,3473.3236,mb
2017/2/24,3473.8517,mb
2017/2/27,3446.22,mb
2017/2/28,3452.8103,mb
2017/3/1,3458.4376,mb
2017/3/2,3435.0963,mb
2017/3/3,3427.8628,mb
2017/3/6,3446.484,mb
2017/3/7,3453.9565,mb
2017/3/8,3448.7313,mb
2017/3/9,3426.9438,mb
2017/3/10,3427.8916,mb
2017/3/13,3458.098,mb
2017/3/14,3456.6934,mb
2017/3/15,3463.6436,mb
2017/3/16,3481.5066,mb
2017/3/17,3445.8051,mb
2017/3/20,3449.6126,mb
2017/3/21,3466.3468,mb
2017/3/22,3450.0502,mb
2017/3/23,3461.9782,mb
2017/3/24,3489.5997,mb
2017/3/27,3478.0385,mb
2017/3/28,3469.8093,mb
2017/3/29,3465.1933,mb
2017/3/30,3436.758,mb
2017/3/31,3456.0455,mb
2017/4/5,3503.8932,mb
2017/4/6,3514.0469,mb
2017/4/7,3517.4634,mb
2017/4/10,3505.1392,mb
2017/4/11,3517.328,mb
2017/4/12,3509.4387,mb
2017/4/13,3514.5662,mb
2017/4/14,3486.5045,mb
2017/4/17,3479.9417,mb
2017/4/18,3462.7429,mb
2017/4/19,3445.8761,mb
2017/4/20,3461.5481,mb
2017/4/21,3466.7865,mb
2017/4/24,3431.2587,mb
2017/4/25,3440.9743,mb
2017/4/26,3445.1832,mb
2017/4/27,3446.7202,mb
2017/4/28,3439.753,mb
2017/5/2,3426.5766,mb
2017/5/3,3413.1282,mb
2017/5/4,3404.3864,mb
2017/5/5,3382.5502,mb
2017/5/8,3358.8125,mb
2017/5/9,3352.5324,ml
2017/5/10,3337.7007,ml
2017/5/11,3356.6459,ml
2017/5/12,3385.3787,ml
2017/5/15,3399.1937,ml
2017/5/16,3428.6491,ml
2017/5/17,3409.9656,ml
2017/5/18,3398.1127,ml
2017/5/19,3403.8492,ml
2017/5/22,3411.2387,ml
2017/5/23,3424.194,ml
2017/5/24,3424.1669,ml
2017/5/25,3485.6581,ml
2017/5/26,3480.4345,mb
2017/5/31,3492.8845,mb
2017/6/1,3497.7382,mb
2017/6/2,3486.5074,mb
2017/6/5,3468.7538,mb
2017/6/6,3492.8816,mb
2017/6/7,3533.8718,mb
2017/6/8,3560.9786,mb
2017/6/9,3576.1703,mb
2017/6/12,3574.3894,mb
2017/6/13,3582.2674,mb
2017/6/14,3535.2987,mb
2017/6/15,3528.7926,mb
2017/6/16,3518.7611,mb
2017/6/19,3553.6653,mb
2017/6/20,3546.494,mb
2017/6/21,3587.955,mb
2017/6/22,3590.3425,mb
2017/6/23,3622.8831,mb
2017/6/26,3668.0919,mb
2017/6/27,3674.7152,mb
2017/6/28,3646.1666,mb
2017/6/29,3668.8279,mb
2017/6/30,3666.7977,mb
2017/7/3,3650.8463,mb
2017/7/4,3619.9841,mb
2017/7/5,3659.6795,mb
2017/7/6,3660.0967,mb
2017/7/7,3655.9293,mb
2017/7/10,3653.6868,mb
2017/7/11,3670.8086,mb
2017/7/12,3658.8236,mb
2017/7/13,3686.9205,mb
2017/7/14,3703.094,mb
2017/7/17,3663.5575,mb
2017/7/18,3667.1807,mb
2017/7/19,3729.7466,mb
2017/7/20,3747.8843,mb
2017/7/21,3728.5976,mb
2017/7/24,3743.4686,mb
2017/7/25,3719.559,mb
2017/7/26,3705.3884,mb
2017/7/27,3712.1947,mb
2017/7/28,3721.8914,mb
2017/7/31,3737.8732,mb
2017/8/1,3770.3828,mb
2017/8/2,3760.8525,mb
2017/8/3,3727.8264,mb
2017/8/4,3707.5796,mb
2017/8/7,3726.7948,mb
2017/8/8,3732.2129,mb
2017/8/9,3731.044,mb
2017/8/10,3715.9208,mb
2017/8/11,3647.3503,mb
2017/8/14,3694.6831,mb
2017/8/15,3706.0566,mb
2017/8/16,3701.4207,mb
2017/8/17,3721.277,mb
2017/8/18,3724.6748,mb
2017/8/21,3740.9941,mb
2017/8/22,3752.298,mb
2017/8/23,3756.0884,mb
2017/8/24,3734.6458,mb
2017/8/25,3795.7544,mb
2017/8/28,3842.7119,mb
2017/8/29,3834.5376,mb
2017/8/30,3834.3005,mb
2017/8/31,3822.0928,mb
2017/9/1,3830.5383,mb
2017/9/4,3845.6163,mb
2017/9/5,3857.0464,mb
2017/9/6,3849.4499,mb
2017/9/7,3829.8713,mb
2017/9/8,3825.9895,mb
2017/9/11,3825.65,mb
2017/9/12,3837.9341,mb
2017/9/13,3842.6061,mb
2017/9/14,3829.9554,mb
2017/9/15,3831.2965,mb
2017/9/18,3843.1428,mb
2017/9/19,3832.1161,mb
2017/9/20,3842.4353,mb
2017/9/21,3837.8176,mb
2017/9/22,3837.7304,mb
2017/9/25,3817.7915,mb
2017/9/26,3820.7816,mb
2017/9/27,3821.2,mb
2017/9/28,3822.5386,mb
2017/9/29,3836.5013,mb
2017/10/9,3882.2076,mb
2017/10/10,3889.8637,mb
2017/10/11,3902.6868,mb
2017/10/12,3912.9536,mb
2017/10/13,3921.0017,mb
2017/10/16,3913.4462,mb
2017/10/17,3913.0688,mb
2017/10/18,3944.1626,mb
2017/10/19,3931.2495,mb
2017/10/20,3926.852,mb
2017/10/23,3930.7981,mb
2017/10/24,3959.3953,mb
2017/10/25,3976.949,mb
2017/10/26,3993.5752,mb
2017/10/27,4021.9676,mb
2017/10/30,4009.7218,mb
2017/10/31,4006.7179,mb
2017/11/1,3996.6221,mb
2017/11/2,3997.1343,mb
2017/11/3,3992.6979,mb
2017/11/6,4020.8896,mb
2017/11/7,4054.2465,mb
2017/11/8,4048.0057,mb
2017/11/9,4075.8998,mb
2017/11/10,4111.9112,mb
2017/11/13,4128.0733,mb
2017/11/14,4099.351,mb
2017/11/15,4073.6696,mb
2017/11/16,4105.0122,mb
2017/11/17,4120.8508,mb
2017/11/20,4143.8334,mb
2017/11/21,4217.7015,mb
2017/11/22,4227.5666,mb
2017/11/23,4102.3966,mb
2017/11/24,4104.2034,mb
2017/11/27,4049.9475,mb
2017/11/28,4055.8235,mb
2017/11/29,4053.7529,mb
2017/11/30,4006.0993,mb
2017/12/1,3998.1365,mb
2017/12/4,4018.8571,mb
2017/12/5,4040.1704,mb
2017/12/6,4015.8211,mb
2017/12/7,3971.0569,mb
2017/12/8,4003.3792,mb
2017/12/11,4069.4997,mb
2017/12/12,4016.0163,ml
2017/12/13,4050.0927,ml
2017/12/14,4026.1516,ml
2017/12/15,3980.8558,ml
2017/12/18,3985.2914,ml
2017/12/19,4035.33,ml
2017/12/20,4030.49,ml
2017/12/21,4067.85,ml
2017/12/22,4054.6,ml
2017/12/25,4041.54,ml
2017/12/26,4053.62,ml
2017/12/27,3991.21,ml
2017/12/28,4018.9,mb
2017/12/29,4030.85,mb
2018/1/2,4087.4,mb
2018/1/3,4111.39,mb
2018/1/4,4128.81,mb
2018/1/5,4138.75,mb
2018/1/8,4160.16,mb
2018/1/9,4189.3,mb
2018/1/10,4207.81,mb
2018/1/11,4205.59,mb
2018/1/12,4225,mb
2018/1/15,4225.24,mb
2018/1/16,4258.47,mb
2018/1/17,4248.12,mb
2018/1/18,4271.42,mb
2018/1/19,4285.4,mb
2018/1/22,4336.6,mb
2018/1/23,4382.61,mb
2018/1/24,4389.89,mb
